AMC,Fund Name,Morning star rating,Value Research rating,1 month return,NAV,1 Year return,3 Year Return,Minimum investment,Fund Manager,AUM,Category,Risk
bandhan mutual fund,Bandhan Financial Services Reg-G,0,0,8.48%,14.07,37.45%,0,Rs.100.0,Manish Gunwani,925.84 cr,Equity,Very High
mahindra manulife mutual fund,Mahindra Manulife Manufacturing Reg-G,0,0,2.97%,10.2,0,0,Rs.500.0,Manish Lodha,911.61 cr,Equity,Very High
lic mutual fund,LIC MF Short Duration Reg-G,2,1,0.69%,13.7,7.28%,4.83%,Rs.1000.0,Marzban Irani,108.26 cr,Debt,Moderate
lic mutual fund,LIC MF Banking & PSU-G,3,3,0.74%,32.6,7.52%,5.26%,Rs.1000.0,Marzban Irani,1540.53 cr,Debt,Moderate
lic mutual fund,LIC MF Medium to Long Duration -G,3,3,0.98%,67.88,8.16%,5.50%,Rs.1000.0,Marzban Irani,174.38 cr,Debt,Moderate
lic mutual fund,LIC MF Gilt PF-G,3,2,1.26%,32.87,8.87%,5.18%,Rs.1000.0,Marzban Irani,72.22 cr,Debt,Moderate
lic mutual fund,LIC MF Gilt-G,3,2,1.26%,56.92,8.87%,5.18%,Rs.1000.0,Marzban Irani,72.22 cr,Debt,Moderate
baroda bnp paribas mutual fund,Baroda BNP Paribas Liquid Reg-G,4,0,0.57%,4187.37,7.28%,6.03%,0,Mayank Prakash,11399.65 cr,Debt,Low to Moderate
baroda bnp paribas mutual fund,Baroda BNP ParibasLow Duration Reg-G,4,0,0.54%,37.91,6.92%,5.51%,Rs.10000.0,Mayank Prakash,214.74 cr,Debt,Low to Moderate
baroda bnp paribas mutual fund,Baroda BNP Paribas Liquid-G,5,3,0.57%,2844.23,7.28%,6.01%,Rs.500.0,Mayank Prakash,11399.65 cr,Debt,Low to Moderate
baroda bnp paribas mutual fund,Baroda BNP Paribas Ultra Short Duration Reg-G,4,4,0.59%,1454.46,7.31%,6.13%,Rs.500.0,Mayank Prakash,1385.73 cr,Debt,Low to Moderate
baroda bnp paribas mutual fund,Baroda BNP Paribas Dynamic Bond-G,3,3,0.99%,43.34,8.64%,5.82%,Rs.500.0,Mayank Prakash,152.5 cr,Debt,Moderate
baroda bnp paribas mutual fund,Baroda BNP Paribas Gilt-G,3,3,1.11%,39.96,9.20%,5.50%,Rs.500.0,Mayank Prakash,1631.93 cr,Debt,Moderate
baroda bnp paribas mutual fund,Baroda BNP Paribas Corporate Bond-G,2,2,0.88%,25.63,7.95%,5%,Rs.500.0,Mayank Prakash,168.38 cr,Debt,Moderate
baroda bnp paribas mutual fund,Baroda BNP ParibasLow Duration-G,3,3,0.54%,37.85,6.85%,5.35%,Rs.500.0,Mayank Prakash,214.74 cr,Debt,Low to Moderate
baroda bnp paribas mutual fund,Baroda BNP Paribas Equity Savings Reg-G,3,3,2.76%,16.04,17.10%,9.44%,Rs.500.0,Mayank Prakash,245.08 cr,Hybrid,Moderate
baroda bnp paribas mutual fund,Baroda BNP Paribas Medium Duration-G,0,0,0,17.75,0,0,Rs.500.0,Mayank Prakash,28.33 cr,Debt,Moderate
baroda bnp paribas mutual fund,Baroda BNP Paribas Retirement Reg-G,0,0,5.15%,11.07,0,0,Rs.500.0,Mayank Prakash,312.03 cr,Other,Very High
baroda bnp paribas mutual fund,Baroda BNP Paribas Money Market Reg-G,2,2,0.58%,1298.56,7.12%,5.71%,Rs.500.0,Mayank Prakash,324.89 cr,Debt,Low to Moderate
baroda bnp paribas mutual fund,Baroda BNP Paribas NIFTY SDL December 2028 In,0,0,0.79%,11.27,8.53%,0,Rs.500.0,Mayank Prakash,34.96 cr,Other,Moderate
baroda bnp paribas mutual fund,Baroda BNP Paribas Dynamic Bond Reg A-G,4,0,0.99%,30.52,8.64%,6.02%,Rs.5000.0,Mayank Prakash,152.5 cr,Debt,Moderate
baroda bnp paribas mutual fund,Baroda BNP Paribas Corporate Bond Reg-G,2,0,0.88%,29.66,7.95%,5.05%,Rs.5000.0,Mayank Prakash,168.38 cr,Debt,Moderate
360 one mutual fund,360 ONE Balanced Hybrid Reg-G,0,0,2.53%,12.48,0,0,Rs.1000.0,Mayur Patel,805.4 cr,Hybrid,Very High
360 one mutual fund,360 ONE Focused Equity Reg-G,4,4,4.44%,49.5,37.54%,18.51%,Rs.1000.0,Mayur Patel,8104.27 cr,Equity,Very High
360 one mutual fund,360 ONE FlexiCap Reg-G,0,0,4.88%,15.74,49.44%,0,Rs.1000.0,Mayur Patel,986.58 cr,Equity,Very High
360 one mutual fund,IIFL Flexi Cap Fund Reg-G,0,0,0,0,0,0,Rs.1000.0,Mayur Patel,#0ME?,Equity,Low to Moderate
nippon india mutual fund,Nippon India Equity Hybrid-G,2,3,4.93%,104.48,29.88%,17.22%,Rs.100.0,Meenakshi Dawar,3893.74 cr,Hybrid,Moderate 
nippon india mutual fund,Nippon India Value-G,4,4,6.38%,233.64,53.51%,24.98%,Rs.100.0,Meenakshi Dawar,8751.52 cr,Equity,Very High
tata mutual fund,Tata India Pharma & HealthCare Reg-G,0,4,6.21%,31.54,54.71%,20.14%,Rs.100.0,Meeta Shetty,1183.18 cr,Equity,High 
tata mutual fund,Tata Digital India Reg-G,0,0,10.55%,53.38,44.10%,13.37%,Rs.100.0,Meeta Shetty,12040.9 cr,Equity,Very High
tata mutual fund,Tata Focused Equity Reg-G,3,3,6.83%,24.96,39.94%,18.38%,Rs.100.0,Meeta Shetty,1912.03 cr,Equity,Moderately High 
tata mutual fund,Tata Nifty India Digital ETF FoF Reg-G,0,0,10.29%,15.53,47.64%,0,Rs.500.0,Meeta Shetty,77.31 cr,Other,Very High
nippon india mutual fund,Nippon India Nifty Midcap 150 Index Reg-G,0,3,5.44%,25.1,46.87%,25.70%,Rs.100.0,Mehul Dama,1585.14 cr,Other,Very High
nippon india mutual fund,Nippon India Nifty Smallcap 250 Index Reg-G,0,2,7.87%,35.91,51.75%,25.21%,Rs.100.0,Mehul Dama,1789.7 cr,Other,Very High
nippon india mutual fund,Nippon India Index Nifty 50-G,2,2,5.05%,42.72,26.97%,13.87%,Rs.100.0,Mehul Dama,1904.76 cr,Other,Very High
nippon india mutual fund,Nippon India Gold Savings-G,0,2,3.74%,28.54,23.14%,14.38%,Rs.100.0,Mehul Dama,1906.77 cr,Other,High
nippon india mutual fund,Nippon India Silver ETF FoF Reg-G,0,0,6.00%,13.43,19.36%,0,Rs.100.0,Mehul Dama,373.92 cr,Other,Very High
nippon india mutual fund,Nippon India Nifty Next 50 Junior BeES FoF Re,0,4,5.22%,27.77,65.18%,21%,Rs.100.0,Mehul Dama,492.76 cr,Other,Low 
nippon india mutual fund,Nippon India Index BSE Sensex-G,2,2,4.97%,41.91,23.63%,13.18%,Rs.100.0,Mehul Dama,745.02 cr,Other,Very High
nippon india mutual fund,Nippon India Nifty 50 Value 20 Index Reg-G,0,1,5.57%,20.45,38.08%,18.54%,Rs.100.0,Mehul Dama,845.87 cr,Other,Very High
nippon india mutual fund,Nippon India Nifty AlphaLow Volatility 30 In,0,0,3.95%,18.01,52.89%,0,Rs.100.0,Mehul Dama,879.18 cr,Other,Very High
360 one mutual fund,360 ONE Liquid Reg-G,0,2,0.57%,1906.35,7.20%,5.88%,Rs.1000.0,Milan Mody,784.74 cr,Debt,Low to Moderate
360 one mutual fund,360 ONE Dynamic Bond Reg-G,4,4,1.02%,21.09,9.44%,6.27%,Rs.1000.0,Milan Mody,789.78 cr,Debt,Moderately High
baroda bnp paribas mutual fund,Baroda BNP Paribas Aqua FoF Reg-G,0,0,3.84%,12.61,19.56%,4.38%,Rs.500.0,Miten Vora,52.47 cr,Other,Very High
bank of india mutual fund,Bank of India Liquid Reg-G Transfer,0,5,0.58%,2845.05,7.42%,6.07%,0,Mithraem Bharucha,1790.04 cr,Debt,Low to Moderate
bank of india mutual fund,Bank of India Ultra Short Duration Reg-G,3,2,0.53%,2995.08,6.42%,5.38%,Rs.1000.0,Mithraem Bharucha,164.25 cr,Debt,Low to Moderate
bank of india mutual fund,Bank of India Ultra Short Duration Reg-G Tran,0,2,0.53%,2995.08,6.42%,5.38%,Rs.1000.0,Mithraem Bharucha,164.25 cr,Debt,Low to Moderate
bank of india mutual fund,Bank of India Short Term Income Reg-G,3,1,0.68%,24.76,7.01%,12.45%,Rs.1000.0,Mithraem Bharucha,71.55 cr,Debt,Moderate
bank of india mutual fund,Bank of India Liquid Reg-G,3,5,0.58%,2845.6,7.42%,6.07%,Rs.5000.0,Mithraem Bharucha,1790.04 cr,Debt,Low to Moderate
bank of india mutual fund,Bank of India Overnight Reg-G,0,5,0.55%,1247.78,6.86%,5.75%,Rs.5000.0,Mithraem Bharucha,38.55 cr,Debt,Low
icici prudential mutual fund,ICICI Pru ESG Exclusionary Strategy-G,0,0,7.80%,23.11,46.91%,18.06%,Rs.100.0,Mittul Kalawadia,1607.52 cr,Equity,Moderately High 
icici prudential mutual fund,ICICI Pru PSU Equity-G,0,0,0.60%,21.59,69.07%,0,Rs.100.0,Mittul Kalawadia,2627.96 cr,Equity,Very High
icici prudential mutual fund,ICICI Pru Dividend Yield Equity-G,3,0,3.77%,52.87,49.82%,28.38%,Rs.100.0,Mittul Kalawadia,4840.61 cr,Equity,Low toModerate 
sbi mutual fund,SBI Infrastructure-G,3,4,4.41%,54.6,56.01%,30.50%,Rs.500.0,Mohit Jain,4790.48 cr,Equity,High 
sbi mutual fund,SBI ESG Exclusionary Strategy-G,0,0,4.18%,244.8,30.56%,14.48%,Rs.500.0,Mohit Jain,6035.5 cr,Equity,Very High
sbi mutual fund,SBI Banking & Financial Services Reg-G,4,4,5.48%,38.26,31.64%,15.31%,Rs.500.0,Mohit Jain,6120.42 cr,Equity,Very High
sbi mutual fund,SBI International Access - US Equity FoF Reg-,0,0,2.58%,16.1,30.06%,12.12%,Rs.500.0,Mohit Jain,941.25 cr,Other,Very High
sbi mutual fund,SBI Dividend Yield Reg-G,0,0,3.63%,15.97,36.82%,0,Rs.500.0,Mohit Jain,9445.04 cr,Equity,Very High
aditya birla sun life mutual fund,Aditya Birla SL Dynamic Bond Reg-G,3,5,1.27%,43.53,8.98%,6.93%,Rs.1000.0,Mohit Sharma,1687.62 cr,Debt,Moderate
aditya birla sun life mutual fund,Aditya Birla SL Nifty SDL Plus PSU Bond Sep 2,0,0,0.60%,11.6,7.68%,0,Rs.500.0,Mohit Sharma,10801.67 cr,Other,Low to Moderate
aditya birla sun life mutual fund,Aditya Birla SL CRISIL IBX AAA Mar 2024 Index,0,0,0,10.86,0,0,Rs.500.0,Mohit Sharma,1131.03 cr,Other,Low to Moderate
aditya birla sun life mutual fund,Aditya Birla SL CRISIL IBX 60:40 SDL+AAA PSU-,0,0,0.62%,11.43,7.74%,0,Rs.500.0,Mohit Sharma,1646.42 cr,Other,Low to Moderate
aditya birla sun life mutual fund,Aditya Birla SL CRISIL IBX 60:40 SDL+AAA PSU-,0,0,0.56%,11.39,7.27%,0,Rs.500.0,Mohit Sharma,231.09 cr,Other,Low to Moderate
aditya birla sun life mutual fund,Aditya Birla SL CRISIL IBX 50:50 Gilt Plus SD,0,0,0.76%,11.66,8.36%,0,Rs.500.0,Mohit Sharma,416.14 cr,Other,Moderate
aditya birla sun life mutual fund,Aditya Birla SL Interval Income Qtly Ser I Re,0,0,0.54%,32.2,7.41%,6.33%,Rs.5000.0,Mohit Sharma,33.49 cr,Debt,Low to Moderate
tata mutual fund,Tata Dividend Yield Fund Reg-G,0,0,4.94%,18.81,37.29%,19%,Rs.100.0,Murthy Nagarajan,1031.51 cr,Equity,Low toModerate 
tata mutual fund,Tata Equity Savings Reg-G,3,3,1.24%,52.63,15.61%,8.81%,Rs.100.0,Murthy Nagarajan,169.12 cr,Hybrid,Low to Moderate
tata mutual fund,Tata Business Cycle Reg-G,0,0,5.18%,20.29,43.64%,25.40%,Rs.100.0,Murthy Nagarajan,2856.84 cr,Equity,Very High
tata mutual fund,Tata Multi Asset Opportunities Reg-G,0,3,2.32%,22.72,25.09%,14.44%,Rs.100.0,Murthy Nagarajan,3263.01 cr,Hybrid,Very High
tata mutual fund,Tata Hybrid Equity Reg-G,2,3,3.73%,447.71,26.16%,14.07%,Rs.100.0,Murthy Nagarajan,4267.59 cr,Hybrid,Very High
tata mutual fund,Tata Housing Opportunities Reg-G,0,0,6.45%,16.96,37.43%,0,Rs.100.0,Murthy Nagarajan,639.81 cr,Equity,Very High
tata mutual fund,Tata Multicap Reg-G,0,0,6.25%,15.38,30.14%,0,Rs.150.0,Murthy Nagarajan,3310.53 cr,Equity,Very High
tata mutual fund,Tata Retirement Savings Conservative Reg-G,5,2,1.89%,30.96,14.54%,7.34%,Rs.500.0,Murthy Nagarajan,175.7 cr,Other,Moderately High
tata mutual fund,Tata Retirement Savings Progressive Reg-G,4,3,5.28%,67.78,37.37%,15.38%,Rs.500.0,Murthy Nagarajan,2131.58 cr,Other,Very High
tata mutual fund,Tata Retirement SavingsModerate Reg-G,5,3,4.58%,65.17,31.30%,14.33%,Rs.500.0,Murthy Nagarajan,2205.81 cr,Other,Very High
tata mutual fund,Tata Short Term Bond Reg-G,3,2,0.67%,45.08,7.25%,5.13%,Rs.500.0,Murthy Nagarajan,2441.0 cr,Debt,Moderate
uti mutual fund,UTI Q Interval Fund Sr III Reg-G,0,0,0,27.89,0,0,0,Sunil Madhukar Patil,3.27 cr,Debt,Low
sundaram mutual fund,Sundaram Select Focus Reg-G,3,5,2.25%,166.04,38.04%,19%,Rs.100.0,Rahul Baijal,0.0 cr,Equity,Moderately High 
sundaram mutual fund,Sundaram Balanced Advantage Fund Reg-G,0,0,0.92%,14.63,14.91%,0,Rs.100.0,NA,1247.87 cr,Hybrid,Moderately High
sundaram mutual fund,Sundaram Equity Savings Fund Reg-G,0,0,0.54%,12.49,8.08%,7.49%,Rs.100.0,NA,157.58 cr,Hybrid,Moderate
sundaram mutual fund,Sundaram Equity Hybrid Reg-G,3,0,0,84.14,0,0,Rs.100.0,NA,1954.01 cr,Hybrid,High
sundaram mutual fund,Sundaram Money Reg-G,5,3,0.29%,35.87,3.29%,4.69%,Rs.100.0,NA,3144.09 cr,Debt,Low to Moderate
sundaram mutual fund,Sundaram Short Term Debt-G,3,0,0,29.3,0,0,Rs.100.0,NA,361.74 cr,Debt,Low to Moderate
sundaram mutual fund,Sundaram Smart NIFTY 100 Equal Weight Fund Re,0,0,0,18.11,0,0,Rs.100.0,NA,38.41 cr,Other,Very High
sundaram mutual fund,Sundaram Equity Fund Reg-G,0,0,0,16.59,0,0,Rs.100.0,NA,828.43 cr,Equity,Very High
sundaram mutual fund,Sundaram Arbitrage Fund Reg-G,0,0,0.03%,10.66,3.19%,0,Rs.100.0,NA,83.34 cr,Hybrid,Low to Moderate
hsbc mutual fund,HSBC Infrastructure Equity-G,1,0,0,27.88,0,0,Rs.1000.0,NA,120.75 cr,Equity,Very High
sundaram mutual fund,Sundaram Ultra Short Term Fund Reg-G,0,0,0,11.03,0,0,Rs.1000.0,NA,1284.95 cr,Debt,Low to Moderate
hsbc mutual fund,HSBC Small Cap Equity-G,2,0,0,82.25,0,0,Rs.1000.0,NA,300.29 cr,Equity,Very High
pgim india mutual fund,PGIM India Credit Risk Reg-G,3,0,0,15.58,0,0,Rs.1000.0,NA,39.22 cr,Debt,Low to Moderate
hsbc mutual fund,HSBC Equity Hybrid Fund Reg-G,3,0,0,15.8,0,0,Rs.1000.0,NA,474.68 cr,Hybrid,Very High
hsbc mutual fund,HSBC Flexi Debt-G,3,0,0,29.08,0,0,Rs.1000.0,NA,54.6 cr,Debt,Low to Moderate
sundaram mutual fund,SundaramLow Duration Reg-G,4,0,0,23.3,0,0,Rs.1000.0,NA,549.95 cr,Debt,Moderate
hsbc mutual fund,L&T Triple Ace Bond-G 54EA,0,0,0.83%,68.43,7.78%,5.19%,Rs.1000.0,NA,6176.66 cr,Debt,Moderate
hsbc mutual fund,L&T Triple Ace Bond-G 54EB,0,0,0.83%,68.43,7.78%,5.19%,Rs.1000.0,NA,6176.66 cr,Debt,Moderate
kotak mahindra mutual fund,Kotak Nifty SDL Plus AAA PSU Bond Jul 2033 60,0,0,0,0,0,0,Rs.1000.0,NA,#0ME?,Other,Low
uti mutual fund,UTI M Interval Fund Sr II Ret-G,0,0,0,25.77,0,0,Rs.10000.0,NA,1.92 cr,Debt,Low
hsbc mutual fund,HSBCLow Duration Regular-G,2,0,0,24.39,0,0,Rs.10000.0,NA,198.75 cr,Debt,Low to Moderate
uti mutual fund,UTI M Interval Fund Sr 1 Ret-G,0,0,0,26.84,0,0,Rs.10000.0,NA,3.08 cr,Debt,Low
hsbc mutual fund,HSBC Flexi Debt Regular-G,3,0,0,27.86,0,0,Rs.10000.0,NA,54.6 cr,Debt,Low to Moderate
dsp mutual fund,DSP Equity & Bond-G 54EA,0,0,5.95%,352.14,31.35%,13.85%,Rs.500.0,NA,10322.86 cr,Hybrid,Very High
dsp mutual fund,DSP Equity & Bond-G 54EB,0,0,5.95%,352.14,31.35%,13.85%,Rs.500.0,NA,10322.86 cr,Hybrid,Very High
hsbc mutual fund,HSBC Mid Cap Fund Reg-G,0,0,0,9.45,0,0,Rs.500.0,NA,1082.16 cr,Equity,Very High
navi mutual fund,Navi Ultra Short Term-G,3,0,0,2251.93,0,0,Rs.500.0,NA,11.77 cr,Debt,Low to Moderate
hdfc mutual fund,HDFC Long Term Advantage-G,0,0,0,594.88,0,0,Rs.500.0,NA,1311.68 cr,Equity,Very High
tata mutual fund,Tata Dynamic Bond Reg-G,5,0,0,34.92,0,0,Rs.500.0,NA,145.92 cr,Debt,Low to Moderate
navi mutual fund,Navi 3 in 1-G,2,0,0,23.67,0,0,Rs.500.0,NA,15.89 cr,Hybrid,Very High
hsbc mutual fund,HSBC Corporate Bond Fund Reg-G,0,0,0,10.71,0,0,Rs.500.0,NA,157.77 cr,Debt,Low to Moderate
hdfc mutual fund,HDFC Index Fund Nifty 50,0,0,5.06%,238.7,27.26%,14.29%,Rs.500.0,NA,18127.0 cr,Other,Very High
dsp mutual fund,DSP Bond Ret-G 54EA,0,0,0.82%,76.44,7.86%,5.45%,Rs.500.0,NA,371.65 cr,Debt,Moderate
dsp mutual fund,DSP Bond Ret-G 54EB,0,0,0.82%,76.44,7.86%,5.45%,Rs.500.0,NA,371.65 cr,Debt,Moderate
tata mutual fund,Tata Income Reg-G,4,0,0,66.61,0,0,Rs.500.0,NA,52.31 cr,Debt,Moderate
tata mutual fund,Tata Medium Term Reg-G,2,0,0,29.78,0,0,Rs.500.0,NA,76.11 cr,Debt,Moderate
navi mutual fund,Navi Large Cap Equity-G,2,0,0,30.76,0,0,Rs.500.0,NA,91.25 cr,Equity,Very High
whiteoak capital mutual fund,InActive_WhiteOak Capital Flexi Cap Fund Reg-,0,0,0,0,0,0,Rs.500.0,NA,#0ME?,Equity,Moderate
navi mutual fund,InActive_Navi Nifty IT Index Fund Reg-G,0,0,0,0,0,0,Rs.500.0,NA,#0ME?,Other,Low
pgim india mutual fund,PGIM India Ultra Short Duration Reg-G,5,0,0,25.99,0,0,Rs.5000.0,NA,510.34 cr,Debt,Low to Moderate
mirae asset mutual fund,Mirae Asset ELSS Tax Saver Reg-G,3,3,5.88%,49.33,35.05%,16.71%,Rs.500.0,Neelesh Surana,26041.77 cr,Equity,Moderate 
mirae asset mutual fund,Mirae Asset Large & Midcap Reg-G,4,2,5.36%,154.59,35.32%,16.66%,Rs.500.0,Neelesh Surana,40204.84 cr,Equity,High 
hsbc mutual fund,HSBC Large and Mid Cap Reg-G,3,3,4.59%,27.79,48.42%,21.32%,Rs.500.0,Neelotpal Sahai,3638.62 cr,Equity,High 
baroda bnp paribas mutual fund,Baroda BNP Paribas NIFTY 50 Index Reg-G,0,0,5.04%,11.74,0,0,Rs.500.0,Neeraj Saxena,63.36 cr,Other,Very High
taurus mutual fund,Taurus Infrastructure Reg-G,2,2,4.89%,72.52,46.48%,23.20%,Rs.500.0,Neha Raichura,10.56 cr,Equity,High
bandhan mutual fund,Bandhan BSE Healthcare Index Reg-G,0,0,0,10.19,0,0,Rs.100.0,Nemish Sheth,0.0 cr,Other,Very High
bandhan mutual fund,Bandhan Nifty Bank Index Reg-G,0,0,0,10.12,0,0,Rs.100.0,Nemish Sheth,11.29 cr,Other,Very High
bandhan mutual fund,Bandhan Nifty100Low Volatility 30 Index Reg-,0,0,6.89%,16.25,37.82%,0,Rs.100.0,Nemish Sheth,1107.95 cr,Other,Very High
bandhan mutual fund,Bandhan Nifty200 Momentum 30 Index Reg-G,0,0,3.32%,18.43,58.93%,0,Rs.100.0,Nemish Sheth,134.65 cr,Other,Very High
bandhan mutual fund,Bandhan Nifty 100 Index Reg-G,0,0,5.03%,15.38,32.75%,0,Rs.100.0,Nemish Sheth,149.72 cr,Other,Very High
bandhan mutual fund,Bandhan Nifty 50 Index Reg-G,2,3,5.04%,54.32,26.92%,14.16%,Rs.100.0,Nemish Sheth,1527.47 cr,Other,Very High
bandhan mutual fund,Bandhan Nifty Alpha 50 Index Reg-G,0,0,3.91%,15.9,0,0,Rs.100.0,Nemish Sheth,232.74 cr,Other,Very High
bandhan mutual fund,Bandhan Nifty IT Index Reg-G,0,0,10.86%,14.19,34.68%,0,Rs.100.0,Nemish Sheth,24.83 cr,Other,Very High
bandhan mutual fund,Bandhan Nifty Total Market Index Reg-G,0,0,5.39%,10.42,0,0,Rs.100.0,Nemish Sheth,34.98 cr,Other,Very High
bandhan mutual fund,Bandhan Nifty Smallcap 250 Index Reg-G,0,0,7.89%,13.38,0,0,Rs.100.0,Nemish Sheth,39.41 cr,Other,Very High
bandhan mutual fund,Bandhan Nifty Midcap 150 Index Reg-G,0,0,0,0,0,0,Rs.100.0,Nemish Sheth,#0ME?,Other,Moderate
sbi mutual fund,SBI Equity Savings Reg-G,3,4,1.79%,23.1,15.92%,10.47%,Rs.500.0,Nidhi Chawla,5088.38 cr,Hybrid,Moderately High
motilal oswal mutual fund,Motilal Oswal Midcap Reg-G,4,5,9.08%,106.72,68.83%,37.77%,Rs.500.0,Niket Shah,15940.06 cr,Equity,Very High
bajaj finserv mutual fund,Bajaj Finserv Banking and PSU Reg-G,0,0,0.76%,10.69,0,0,Rs.1000.0,Nimesh Chandan,110.35 cr,Debt,Moderate
bajaj finserv mutual fund,Bajaj Finserv Balanced Advantage Reg-G,0,0,3.28%,11.5,0,0,Rs.1000.0,Nimesh Chandan,1279.49 cr,Hybrid,Very High
bajaj finserv mutual fund,Bajaj Finserv Overnight Reg-G,0,0,0.54%,1081.08,6.75%,0,Rs.1000.0,Nimesh Chandan,179.5 cr,Debt,Low
bajaj finserv mutual fund,Bajaj Finserv Money Market Reg-G,0,0,0.55%,1083.5,6.99%,0,Rs.1000.0,Nimesh Chandan,2575.08 cr,Debt,Low to Moderate
bajaj finserv mutual fund,Bajaj Finserv Liquid Reg-G,0,0,0.57%,1086.81,7.29%,0,Rs.1000.0,Nimesh Chandan,4995.62 cr,Debt,Low to Moderate
bajaj finserv mutual fund,Bajaj Finserv Multi Asset Allocation Reg-G,0,0,3.10%,10.92,0,0,Rs.500.0,Nimesh Chandan,1030.1 cr,Hybrid,Very High
bajaj finserv mutual fund,Bajaj Finserv Large and Mid Cap Reg-G,0,0,5.79%,12.52,0,0,Rs.500.0,Nimesh Chandan,1389.46 cr,Equity,Very High
bajaj finserv mutual fund,Bajaj Finserv Flexi Cap Reg-G,0,0,5.98%,14.62,45.21%,0,Rs.500.0,Nimesh Chandan,3612.65 cr,Equity,Very High
bajaj finserv mutual fund,Bajaj Finserv Arbitrage Reg-G,0,0,0.47%,10.69,0,0,Rs.500.0,Nimesh Chandan,762.47 cr,Hybrid,Low
bajaj finserv mutual fund,Bajaj Finserv Large Cap Reg-G,0,0,0,10.24,0,0,Rs.500.0,Nimesh Chandan,995.65 cr,Equity,Very High
samco mutual fund,Samco ELSS Tax Saver Reg-G,0,0,5.61%,15.26,27.49%,0,Rs.500.0,Nirali Bhansali,121.27 cr,Equity,Very High
samco mutual fund,Samco Flexi Cap Reg-G,0,0,5.39%,12.72,15.95%,0,Rs.500.0,Nirali Bhansali,673.39 cr,Equity,Very High
icici prudential mutual fund,ICICI Pru Nifty LargeMidcap 250 Index-G,0,0,5.21%,12.4,0,0,Rs.100.0,Nishit Patel,156.55 cr,Other,Very High
icici prudential mutual fund,ICICI Pru Nifty50 Value 20 Index-G,0,0,5.56%,11.91,0,0,Rs.100.0,Nishit Patel,75.77 cr,Other,Very High
bank of india mutual fund,Bank of India Large & Mid Cap Equity Reg-,3,3,3.21%,92.48,41.58%,18.63%,Rs.1000.0,Nitin Gosar,379.19 cr,Equity,Very High
bank of india mutual fund,Bank of India Manufacturing & Infrastruct,4,3,3.43%,59.41,55.52%,29.13%,Rs.1000.0,Nitin Gosar,502.75 cr,Equity,High 
bank of india mutual fund,Bank of India Multi Cap Reg-G,0,0,4.24%,18.43,46.85%,0,Rs.1000.0,Nitin Gosar,696.61 cr,Equity,Very High
bank of india mutual fund,Bank of India Large & Mid Cap Equity Eco-,3,0,3.28%,101.06,42.56%,19.27%,Rs.5000.0,Nitin Gosar,379.19 cr,Equity,High 
franklin templeton mutual fund,Franklin India Liquid Reg-G,4,0,0.52%,5622.79,6.64%,5.30%,Rs.10000.0,Pallab Roy,2736.36 cr,Debt,Low to Moderate
franklin templeton mutual fund,Franklin India Money Market Ret-G,4,3,0.60%,47.19,7.49%,6.01%,Rs.500.0,Pallab Roy,2060.4 cr,Debt,Low to Moderate
franklin templeton mutual fund,Franklin India Liquid Super Inst-G,5,3,0.58%,3718.59,7.35%,6%,Rs.500.0,Pallab Roy,2736.36 cr,Debt,Low to Moderate
franklin templeton mutual fund,Franklin India Floating Rate-G,3,3,0.65%,38.21,7.94%,6.05%,Rs.500.0,Pallab Roy,303.63 cr,Debt,Low to Moderate
franklin templeton mutual fund,Franklin India Overnight Reg-G,0,2,0.53%,1282.51,6.69%,5.59%,Rs.500.0,Pallab Roy,324.82 cr,Debt,Low
kotak mahindra mutual fund,Kotak Small Cap Reg-G,3,3,6.30%,285.63,43.03%,21.75%,Rs.100.0,Pankaj Tibrewal,17638.64 cr,Equity,Very High 
kotak mahindra mutual fund,Kotak Business Cycle Reg-G,0,0,7.53%,16.22,39.76%,0,Rs.100.0,Pankaj Tibrewal,2715.46 cr,Equity,Very High
kotak mahindra mutual fund,Kotak Emerging Equity Reg-G,4,4,5.90%,136.05,48.68%,24.30%,Rs.100.0,Pankaj Tibrewal,51366.36 cr,Equity,High 
kotak mahindra mutual fund,Kotak Equity Hybrid Reg-G,4,4,4.36%,62.28,32.31%,17.26%,Rs.100.0,Pankaj Tibrewal,6510.25 cr,Hybrid,Moderate 
union mutual fund,Union Equity Savings Reg-G,2,2,1.23%,16.4,13.10%,7.52%,Rs.500.0,Parijat Agrawal,129.26 cr,Hybrid,Moderately High
union mutual fund,Union Balanced Advantage Reg-G,3,3,1.94%,19.94,19.40%,10.19%,Rs.500.0,Parijat Agrawal,1554.42 cr,Hybrid,Very High
union mutual fund,Union Gilt Reg-G,0,0,1.30%,11.66,9.63%,0,Rs.500.0,Parijat Agrawal,165.41 cr,Debt,Moderate
union mutual fund,Union Money Market Reg-G,2,1,0.53%,1166.99,6.49%,5.23%,Rs.500.0,Parijat Agrawal,179.08 cr,Debt,Low to Moderate
union mutual fund,Union Corporate Bond Reg-G,3,2,0.80%,14.29,7.71%,5.04%,Rs.500.0,Parijat Agrawal,289.73 cr,Debt,Moderate
union mutual fund,Union Liquid-G,0,4,0.58%,2378.78,7.35%,6.02%,Rs.500.0,Parijat Agrawal,5093.74 cr,Debt,Low to Moderate
union mutual fund,Union Aggressive Hybrid Reg-G,2,2,4.65%,17.99,26.60%,12.56%,Rs.500.0,Parijat Agrawal,651.95 cr,Hybrid,Very High
